,User,Tweet,Time
0,1655324598097829894,"Best electric car bargain/Retro anatomy/42 best pens claudia on May 7, 2023 at 4:58 am https://t.co/0dCQAeaMU5",2023-05-07 21:31:53+00:00
1,1655324401183739904,"RT @BrianGitt: It’s time to stop pretending EVs are good for the environment.

Aluminum used in Ford's F-150 electric truck can be traced b…",2023-05-07 21:31:06+00:00
2,1655323822587822083,"@CMEvanGlass @TeslaMaryland @Royal_Farms An electric car is still a car and still a burden to public safety, climate action,  public budgets, household budgets, health outcomes, and happiness. If you want to be green or protect your constituents then end car dependency.",2023-05-07 21:28:48+00:00
3,1655323708704141316,"RT @BrianGitt: It’s time to stop pretending EVs are good for the environment.

Aluminum used in Ford's F-150 electric truck can be traced b…",2023-05-07 21:28:21+00:00
4,1655323027574333442,RT @leclercswift13: the car is electric I'm sure max is complaining,2023-05-07 21:25:38+00:00
5,1655322904064606212,"@paulpunter ""Fit an electric motor to it and in 50 years time, car manufacturers will pay us half a million dollars a start!!""",2023-05-07 21:25:09+00:00
6,1655322728759537666,"Jansite 4 in 1 Electric Inflator Pump Portable and 8000Pa Vacuum Cleaner 4400mAh Car Air Compressor Real-time Monitor Led Light QWEMVEK

https://t.co/N7BYc56dvi https://t.co/8ZHRTtfKRb",2023-05-07 21:24:27+00:00
7,1655322530029228032,Thousands of electric car chargers pulled from UK roads after energy price surge https://t.co/048Ruw1kfC via @yahoosg,2023-05-07 21:23:40+00:00
8,1655322455391764480,"RT @evdirectories: EV Car Conversions UK “Quality News Links”
A new £15k bolt-in kit turns your classic Mini into an electric car | Top Gea…",2023-05-07 21:23:22+00:00
9,1655322310742802434,"@StephenLeahy The Ford F150 electric truck was voted “Best Overall Green Car for 2023.”

https://t.co/UkuKmjyNU3",2023-05-07 21:22:47+00:00
10,1655322208141709312,"RT @BrianGitt: It’s time to stop pretending EVs are good for the environment.

Aluminum used in Ford's F-150 electric truck can be traced b…",2023-05-07 21:22:23+00:00
11,1655322045851537408,"RT @BrianGitt: It’s time to stop pretending EVs are good for the environment.

Aluminum used in Ford's F-150 electric truck can be traced b…",2023-05-07 21:21:44+00:00
12,1655321786601414656,Electric car owners cannot wait for the brown outs offered by Green New  Deal. Then electric cars and trucks going nowhere!   Which is exactly what Greenies want!,2023-05-07 21:20:42+00:00
13,1655321350880346115,"@Maskingchildbad If I wanted to buy a car right now, I'd buy an electric one, but I get really annoyed when I overpay for anything, so this sort of stuff would cause me constant frustration.",2023-05-07 21:18:59+00:00
14,1655321064480620545,"Inductive Throttle Sensor for EZGO Electric TXT Clays Car 36V 1994 &amp; Up 25854G01 VDDEQ1V

https://t.co/yUYADYYE23",2023-05-07 21:17:50+00:00
15,1655320982897192961,"RT @polly30: @TiceRichard @RealFairbrass I’m sorry Mr Tice but if you still see the monarchy through rose coloured specs, drive an electric…",2023-05-07 21:17:31+00:00
16,1655320804144340996,"RT @cursusa_bot: 100% OFF Udemy Coupon 
Master the art of automotive electrical systems with our Car Electrician Training course! Be Pro wi…",2023-05-07 21:16:48+00:00
